event_type,event_year,event_month,event_day,event_talk_title,event_plenary,event_name,event_location,event_country,event_website,event_invited,event_additional,event_remote,event_poster,event_presentation_file
Seminar,2005,3,,"Diseases in Metapopulations: modelling, problems and (some) solutions",0,Colloquium,University of Manitoba,Canada,,0,,,0,
Seminar,2005,1,,"Diseases in Metapopulations: modelling, problems and (some) solutions",0,Colloquium,University of Ottawa,Canada,,0,,,0,
Seminar,2004,11,,Diseases in metapopulations: challenges and (some) solutions,0,Applied Mathematics Seminar,York University,Canada,,0,,,0,
Conference,2004,7,,Heterogeneous patch models,0,MITACS/PIMS/MSRI Special Program on Infectious Diseases,"Banff International Research Station (BIRS), Banff, Alberta",Canada,http://www.liam.yorku.ca/research/sars/banff04/index.html,0,,,0,
Conference,2004,7,,Diseases in metapopulation models,0,International Conference on Nonlinear Dynamics and Evolution Equations,"St John's, Newfoundland",Canada,http://www.math.mun.ca/~icndee04/,0,,,0,
Conference,2004,7,,Propagation of diseases in patch populations,0,First Joint Canada-France meeting of the mathematical sciences,"Toulouse",France,http://www.cms.math.ca/Events/Toulouse2004/,0,,,0,
Conference,2004,6,,,0,Prix Ovide Arino,"Tlemcen",Algeria,http://www.bondy.ird.fr/geodes/agenda/news/prix-oa.html,1,,,1,
Poster,2004,6,,Disease propagation in a ring of cities,0,MITACS AGM,"Halifax, Nova Scotia",Canada,http://www.mitacs.ca/AC2004/index.php?section=home,0,,,1,
Conference,2004,6,,Competitor-mediated coexistence in a chemostat with variable yield,0,CMS Summer Meeting,"Halifax, Nova Scotia",Canada,http://www.cms.math.ca/Events/summer04/,0,,,0,
Conference,2004,6,,Disease propagation in heterogeneous populations and Time delays in epidemic models,0,AIMS Fifth International Conference on Dynamical Systems and Differential Equations,"Pomona, California",USA,http://aimsciences.org/AIMS-Conference/lameeting.htm,0,,,0,
School,2004,5,,,0,MITACS Summer School on Mathematical Epidemiology,"Banff International Research Station, Banff, Alberta",Canada,,0,,,0,
Conference,2004,5,,Propagation des maladies dans des populations hétérogènes,,Première Conférence Internationale de la SFBT,"Marrakech",Morocco,http://euromedbiomath.sfbt.free.fr/,0,,,1,
Conference,2004,1,,Propagation d'une épidémie dans un digraphe,,Journées de Mathématiques à la mémoire du Professeur Ovide Arino,"Marrakech",Morocco,http://euromedbiomath.ovide.free.fr/jo_program.html,1,,,,
Seminar,2003,9,,An introduction to the chemostat,0,BioMathematics Seminar,McMaster University,Canada,,0,,,0,
Conference,2003,9,,A model for the spatial spread of a multi-species disease,0,Alcalá Second International Conference on Mathematical Ecology,"Alcalá",Spain,http://euromedbiomath.aicme.free.fr/,0,,,0,
Conference,2003,8,,Competitor-mediated coexistence in a chemostat with variable yield,0,Siguenza Summer School,Siguenza,Spain,,,,,,
Conference,2003,8,,The basic reproduction number in a multi-city compartmental epidemic model,0,Posta 2003,"Rome",Italy,http://www.dis.uniroma1.it/~posta03/,0,,,0,
Conference,2003,6,,Disease propagation in a network of cities,0,Fourth G. Butler Memorial Conference,"Edmonton, Alberta",Canada,http://conley.math.ualberta.ca/butler.html,0,,,0,
Seminar,2003,1,21,The basic reproduction number $R_0$. Two examples,0,Applied Mathematics Seminar,McMaster University,Canada,,0,,,0,
Seminar,2002,10,,Time delays in epidemic models: modeling and numerical considerations,0,Biophysics Seminar,University of Alberta,Canada,,0,,,0,
Seminar,2002,10,,A multicity epidemic model,0,Graduate Seminar,University of Victoria,Canada,,0,,,0,
School,2002,9,,Time delays in epidemic models: modeling and numerical considerations,0,Marrakech School on Delay differential equations and applications,"Marrakech",Morocco,http://euromedbiomath.m2002.free.fr/,0,,,0,
Seminar,2002,9,24,Le nombre de reproduction élémentaire: deux exemples,0,Séminaire UR GEODES,"IRD Bondy",France,,0,,,0,
Conference,2002,7,6,Vaccination and waning in a model of infectious disease transmission,0,Mathematical Modeling & Computing in Biology and Medicine Conference,"Milan",Italy,http://users.mat.unimi.it/~ecmtb/,0,,,0,
Poster,2002,6,,A multicity epidemic model,0,DIMACS International Conference on Computation and Mathematical Epidemiology,"Rutgers University, NJ",USA,http://dimacs.rutgers.edu/Workshops/Opening/,0,,,1,
Poster,2002,5,,A multicity epidemic model,0,MITACS Biomedical theme meeting and AGM,"UBC, Vancouver, B.C.",Canada,,0,,,0,
Poster,2001,5,,Reproduction numbers for compartmental models of disease transmission,0,MITACS AGM,"McGill University, Montréal, Québec",Canada,http://www.mitacs.math.ca,0,First prize,,1,
Seminar,2001,3,13,Size-structured population models of phytoplankton growth in the chemostat. II. A discrete-time system describing cellular death & A continuous time system with cellular death and maintenance.,0,Dynamics Seminar,University of Victoria,Canada,,0,,,0,
Seminar,2001,2,27,Size-structured population models of phytoplankton growth in the chemostat. I. Biological and Mathematical background,0,Dynamics Seminar,University of Victoria,Canada,,0,,,0,
Seminar,2001,2,26,Modelling of the growth of micro-organisms in a laboratory ecosystem. Description of cellular size and cellular division,0,Graduate Seminar,University of Victoria,Canada,,0,,,0,
Seminar,2001,1,12,Modèles structurés de croissance du phytoplancton en chemostat,0,PhD Thesis Defense,INRIA Sophia Antipolis,France,,0,,,0,
Seminar,2000,10,20,Modèles structurés d'un ecosystème marin de laboratoire,0,Doctoral days,INRIA Sophia Antipolis,France,,0,,,0,
Seminar,2000,10,13,"Un modèle non conservatif, structuré en taille, de croissance en chemostat",0,Seminar of the COMORE team,INRIA Sophia Antipolis,France,,0,,,0,
Conference,2000,8,,"A Size-Structured, Non Conservative ODE Model of the Chemostat",0,DESTOBIO 2000,"Purdue University, West Lafayette, IN",USA,http://www.math.purdue.edu/~milner/destobio/Final_Announcement.html,0,,,0,
Seminar,2000,5,26,"Un modèle structuré discret de croissance dans le chemostat. Division  cellulaire non égale",0,Seminar of the COMORE team,INRIA Sophia Antipolis,France,,0,,,0,
Conference,2000,5,9,Un modèle structuré discret de croissance dans le chemostat. Division cellulaire non égale,0,Annual meeting of the GdR CoReV,"INA Paris-Grignon",France,http://www.inapg.fr/ens_rech/bio/Ecologie/corev/reunions/9-12mai000.html,0,,,0,
Seminar,1999,10,20,Modèles structurés de croissance du phytoplancton en chemostat. Un modèle en temps discret,0,Doctoral days,INRIA Sophia Antipolis,France,,0,,,0,
Conference,1999,7,,Size structured models for the chemostat - comparison with experiments,0,3rd International Conference Theory and Mathematics in Medicine and Biology (TMBM'99),"Amsterdam",The Netherlands,http://www.bio.vu.nl/thb/users/tmbm99/home.html,0,,,0,
Conference,1999,6,4,"A structured, discrete model of phytoplankton growth in the chemostat. Comparison with experiments",0,European Summer School Mathematics of Cell Physiology and Proliferation,"Termoli",Italy,http://space.tin.it/scienza/hjcas/biomasch.htm,0,,,0,
Conference,1999,3,,Un modèle discret de chemostat structuré. Comparaison avec des résultats expérimentaux,0,Annual meeting of the GdR CoRev (1107),"CIRM Luminy, Marseille",France,,0,,,0,
Seminar,1999,1,22,Etude de modèles structurés du chemostat,0,Seminar of the COMORE team,INRIA Sophia Antipolis,France,,0,,,0,
Seminar,1998,11,6,Résumé de l'école de Louvain Modelling and Regulation of Biochemical Processes of 20-22 October 1998,0,Seminar of the COMORE team,INRIA Sophia Antipolis,France,,0,,,0,
